index,age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
25604,35,Private,11th,Separated,Other-service,Unmarried,White,Male,20,United-States,<=50K
9160,64,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
12383,19,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K
1977,51,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
668,43,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,15,United-States,>50K
27323,38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,>50K
25970,34,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
8377,28,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,25,United-States,<=50K
17573,42,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,55,United-States,>50K
21964,32,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,>50K
5498,45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,50,South,>50K
12481,41,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K
17268,53,Federal-gov,Bachelors,Divorced,Exec-managerial,Unmarried,Black,Female,50,United-States,>50K
15815,36,Self-emp-not-inc,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,30,United-States,>50K
13218,52,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
22847,50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
9066,26,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,52,United-States,<=50K
21980,41,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,United-States,>50K
10254,49,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
7746,57,Federal-gov,Some-college,Divorced,Prof-specialty,Not-in-family,White,Male,48,United-States,>50K
8110,31,Self-emp-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,United-States,>50K
18952,68,Local-gov,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,<=50K
6183,21,Private,Some-college,Never-married,Other-service,Own-child,White,Female,37,United-States,<=50K
6381,46,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,70,United-States,<=50K
8227,39,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K
3954,40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
10057,27,Private,Bachelors,Separated,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,40,Philippines,>50K
27605,39,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,<=50K
12420,20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,35,United-States,<=50K
1736,49,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K
11416,62,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K
26280,59,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K
9336,23,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,5,United-States,<=50K
21822,38,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,35,United-States,<=50K
19209,21,Private,Some-college,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
9091,54,Federal-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
755,55,State-gov,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,>50K
13225,49,Local-gov,Masters,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K
148,39,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,42,United-States,>50K
13524,43,Private,HS-grad,Divorced,Machine-op-inspct,Other-relative,Black,Male,40,United-States,<=50K
4555,37,Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,24,United-States,>50K
2989,30,Private,Bachelors,Never-married,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K
4805,41,Federal-gov,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
11055,44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,35,United-States,>50K
29393,43,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
25322,40,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
22071,23,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Female,35,United-States,<=50K
4222,36,Private,10th,Married-civ-spouse,Other-service,Wife,White,Female,24,United-States,<=50K
14822,28,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
12668,30,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
772,44,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
21697,30,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K
23618,45,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,20,United-States,<=50K
16893,62,Federal-gov,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
19684,53,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K
9989,36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,United-States,>50K
28727,28,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,20,United-States,<=50K
20553,50,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Mexico,<=50K
25778,30,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,36,Vietnam,>50K
41,50,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,72,United-States,>50K
20945,51,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K
23762,53,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
14440,27,Private,5th-6th,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,20,Vietnam,<=50K
1669,47,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K
29669,61,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
24450,42,State-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K
6486,52,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
21853,42,Private,HS-grad,Separated,Sales,Unmarried,White,Female,45,United-States,<=50K
27431,59,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Wife,White,Female,80,United-States,>50K
29398,35,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,30,United-States,<=50K
6828,62,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K
7468,24,Private,Assoc-voc,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,<=50K
20680,47,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,50,United-States,>50K
869,46,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,60,United-States,<=50K
16499,38,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
4333,41,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,36,United-States,<=50K
12567,43,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,60,South,<=50K
19473,33,Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,60,United-States,>50K
12196,24,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K
18231,38,Private,HS-grad,Divorced,Machine-op-inspct,Other-relative,White,Female,40,United-States,<=50K
22965,40,Private,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
28740,42,Local-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,United-States,>50K
2903,54,Federal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
26043,23,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,47,United-States,<=50K
26212,17,Private,10th,Never-married,Sales,Own-child,Black,Female,15,United-States,<=50K
6085,28,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
14530,23,Private,10th,Never-married,Other-service,Unmarried,White,Male,60,Mexico,<=50K
10984,35,Private,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,<=50K
29088,50,Local-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,<=50K
546,48,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
25427,54,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,56,United-States,>50K
14865,44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Black,Male,70,Jamaica,<=50K
25622,61,Private,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,United-States,<=50K
29346,47,Private,Some-college,Widowed,Transport-moving,Unmarried,White,Female,25,Outlying-US(Guam-USVI-etc),<=50K
11531,33,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,25,United-States,>50K
7650,33,Private,9th,Divorced,Handlers-cleaners,Not-in-family,White,Male,70,United-States,<=50K
14439,52,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,>50K
29591,31,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K
4183,26,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,40,United-States,<=50K
1360,49,Private,Assoc-voc,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,42,United-States,<=50K
11535,29,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K
9300,34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,65,Iran,<=50K
14258,48,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,40,Mexico,>50K
3462,28,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
27451,39,Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,<=50K
6619,50,State-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
18390,46,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,15,United-States,<=50K
13629,27,Local-gov,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
5838,57,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
26752,39,Federal-gov,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,>50K
15822,29,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,40,United-States,<=50K
27901,40,Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,50,United-States,>50K
19429,32,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
17646,53,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K
14981,53,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,50,United-States,>50K
29788,44,Federal-gov,Bachelors,Widowed,Exec-managerial,Unmarried,White,Female,40,United-States,>50K
29150,55,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K
825,37,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,60,Cuba,>50K
3649,24,Private,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
2106,45,Private,Bachelors,Widowed,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K
27853,35,Self-emp-inc,Bachelors,Separated,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K
1312,29,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
5129,32,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,42,United-States,<=50K
4355,28,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,40,United-States,<=50K
21331,33,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,40,United-States,<=50K
24116,23,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,>50K
6695,33,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
2501,36,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,36,United-States,>50K
5152,49,Private,10th,Married-civ-spouse,Transport-moving,Husband,Black,Male,42,United-States,>50K
5435,42,Local-gov,Bachelors,Separated,Exec-managerial,Not-in-family,White,Male,45,United-States,>50K
13541,32,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
7118,29,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,40,United-States,<=50K
18817,32,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,56,United-States,>50K
19127,35,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,>50K
17922,32,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K
14363,35,Private,Bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,50,United-States,<=50K
15416,47,Private,Some-college,Divorced,Sales,Unmarried,White,Female,60,United-States,<=50K
1978,45,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,43,United-States,>50K
20282,28,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,42,United-States,<=50K
18093,62,Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,5,United-States,<=50K
22199,43,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,50,United-States,>50K
14762,45,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K
719,34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
19464,38,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,43,United-States,<=50K
29957,46,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,>50K
3119,57,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,>50K
7049,36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,United-States,<=50K
20052,55,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
18604,40,Private,10th,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K
24670,38,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K
23478,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K
4788,36,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,White,Female,60,United-States,<=50K
14352,27,Private,Some-college,Divorced,Sales,Unmarried,White,Female,40,Peru,<=50K
19898,25,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K
18465,29,Federal-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,>50K
4378,46,Self-emp-not-inc,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,50,United-States,<=50K
26648,40,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,42,United-States,>50K
4832,48,Private,Some-college,Divorced,Other-service,Unmarried,Black,Female,35,United-States,<=50K
397,36,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,35,United-States,>50K
16922,51,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
27266,46,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K
20504,31,Private,Bachelors,Never-married,Prof-specialty,Unmarried,Other,Male,40,United-States,<=50K
10363,30,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,Thailand,>50K
3152,40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,United-States,>50K
4612,61,Private,Masters,Widowed,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K
16512,27,Private,Bachelors,Never-married,Tech-support,Own-child,White,Female,40,United-States,<=50K
21591,72,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K
334,32,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,United-States,>50K
542,33,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,Germany,>50K
9664,30,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,45,United-States,<=50K
7412,54,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,<=50K
24835,41,State-gov,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,>50K
2113,44,Local-gov,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,40,United-States,>50K
15739,17,Private,11th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,20,United-States,<=50K
6717,51,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,>50K
8645,37,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,30,United-States,>50K
263,30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,<=50K
23131,42,Private,Bachelors,Married-civ-spouse,Craft-repair,Wife,Black,Female,35,United-States,>50K
15044,49,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,<=50K
18239,44,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60,Taiwan,>50K
26871,26,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
439,51,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,>50K
5772,42,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K
15903,43,Federal-gov,Some-college,Widowed,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,15,United-States,<=50K
21528,21,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
24248,42,Private,Some-college,Divorced,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
9857,34,Private,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K
29239,26,Private,HS-grad,Divorced,Adm-clerical,Own-child,White,Female,40,United-States,<=50K
16915,26,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40,Philippines,<=50K
19844,21,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,30,United-States,<=50K
19083,31,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,55,United-States,<=50K
9135,28,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,>50K
27754,27,Private,Bachelors,Married-civ-spouse,Sales,Other-relative,White,Male,40,United-States,>50K
6,45,Private,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,35,United-States,>50K
626,54,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,>50K
18313,32,Private,10th,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,United-States,<=50K
6648,50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Tech-support,Wife,White,Female,50,United-States,>50K
25452,41,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,>50K
