index,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
26817,19,Private,407759,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
18865,69,Private,71489,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,25,United-States,<=50K
24449,51,Federal-gov,140516,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
16570,52,Local-gov,238959,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,32,United-States,>50K
16875,32,Local-gov,206609,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
13997,17,?,297117,11th,7,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
10250,45,Private,327886,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
8033,30,Private,425627,Some-college,10,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,Mexico,<=50K
6950,64,Self-emp-not-inc,150121,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,25,United-States,>50K
25392,48,Private,39530,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
637,31,Self-emp-not-inc,325355,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,40,United-States,>50K
30189,28,Private,160981,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,52,United-States,<=50K
2602,34,Private,167497,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,7688,0,50,United-States,>50K
379,55,Private,31905,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K
5653,36,Self-emp-not-inc,136028,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,United-States,<=50K
3205,52,Local-gov,194788,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,4787,0,60,United-States,>50K
9441,24,Private,200089,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Mexico,>50K
16731,23,Private,175266,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
13691,49,Local-gov,226871,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,>50K
31818,37,Private,255621,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K
4212,24,Private,270872,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,594,0,40,?,<=50K
23479,30,Private,207668,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,30,United-States,<=50K
12252,34,Private,224358,10th,6,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
29727,39,Self-emp-not-inc,148443,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
2983,28,Local-gov,127491,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,5721,0,40,United-States,<=50K
23974,54,Private,188186,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,20,Hungary,<=50K
24124,33,Private,153588,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
14007,32,Private,171116,HS-grad,9,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K
2831,36,Private,115834,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,7298,0,55,United-States,>50K
26066,28,Private,221452,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
4639,30,Private,303990,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K
8401,51,Private,182187,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,35,United-States,<=50K
29320,49,Private,105614,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
8363,31,Private,164190,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
1833,53,Private,114758,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,65,United-States,>50K
465,57,Private,141570,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1977,40,United-States,>50K
15368,31,Private,182177,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Yugoslavia,<=50K
2498,54,Self-emp-inc,96460,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,>50K
6999,50,Self-emp-inc,100029,Bachelors,13,Widowed,Sales,Unmarried,White,Male,0,0,65,United-States,>50K
1370,47,Private,223342,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1504,35,United-States,<=50K
31503,37,Private,109633,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,16,United-States,>50K
13654,25,Self-emp-inc,182750,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,45,United-States,>50K
31536,31,Private,137290,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
26609,34,Private,329587,10th,6,Separated,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K
1739,90,Local-gov,227796,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,20051,0,60,United-States,>50K
21345,52,Private,343440,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
30822,40,Private,168071,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
29837,35,Private,213208,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,38,Jamaica,<=50K
4168,18,Private,173255,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,1055,0,25,United-States,<=50K
20948,46,Private,99086,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
8971,23,Private,319842,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K
25007,26,Self-emp-not-inc,68729,HS-grad,9,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,50,United-States,>50K
9902,26,Private,126829,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
28701,20,Private,200450,7th-8th,4,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,52,United-States,<=50K
24085,47,Private,343742,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Male,0,0,40,United-States,<=50K
1538,47,Private,345493,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,55,Taiwan,>50K
12648,29,Self-emp-inc,190450,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,Germany,<=50K
5024,34,Private,175878,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
3307,54,Self-emp-not-inc,242606,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,4386,0,45,United-States,>50K
11852,22,?,120572,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
13799,33,Private,99309,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,50,United-States,<=50K
3553,50,Private,158948,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,3411,0,40,United-States,<=50K
17860,40,Private,124520,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Male,0,0,50,United-States,>50K
9651,55,Self-emp-not-inc,189933,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
9926,34,Private,144949,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
19898,43,Private,102180,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
13045,47,Private,74305,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
9804,25,Private,241825,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,46,United-States,<=50K
27914,30,Private,154568,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,36,Vietnam,>50K
10426,69,Self-emp-not-inc,128206,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,30,United-States,<=50K
29838,35,?,139770,Assoc-voc,11,Married-civ-spouse,?,Wife,White,Female,0,0,20,United-States,>50K
5550,47,Private,232628,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
18276,25,Local-gov,198813,Bachelors,13,Never-married,Adm-clerical,Other-relative,Black,Female,0,0,40,United-States,<=50K
21999,21,Private,184568,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
21628,45,State-gov,187581,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
28174,20,Private,37932,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,50,United-States,<=50K
28680,25,Private,131178,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,23,United-States,<=50K
24871,58,Private,142158,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,0,0,35,United-States,<=50K
29507,59,Private,81973,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
13189,63,Federal-gov,95680,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,18,United-States,>50K
14242,90,Private,87285,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,24,United-States,<=50K
31100,18,Private,110142,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
15814,35,Private,270059,Some-college,10,Divorced,Sales,Unmarried,White,Female,0,0,30,United-States,<=50K
31205,35,Self-emp-not-inc,190895,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
7326,31,Private,332379,Some-college,10,Married-spouse-absent,Transport-moving,Unmarried,White,Male,0,0,50,United-States,<=50K
8068,21,Private,174503,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
22918,55,Self-emp-not-inc,68006,7th-8th,4,Never-married,Other-service,Other-relative,White,Female,0,0,60,United-States,<=50K
8452,37,Private,30267,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,>50K
26181,28,Private,188236,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
2815,30,Federal-gov,321990,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,48,Cuba,>50K
9114,56,Private,174744,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
19257,28,Private,181916,Some-college,10,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
26580,30,Private,229051,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,37,United-States,<=50K
31945,27,Private,180758,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,30,United-States,<=50K
9707,43,Private,102180,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
30888,38,Self-emp-not-inc,67317,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
20195,42,Local-gov,100793,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
24535,34,Private,27153,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
20708,58,?,37591,Bachelors,13,Widowed,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
30861,42,Private,153414,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,0,0,40,United-States,>50K
11040,55,?,208640,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States,>50K
1925,55,Private,182460,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,35,United-States,>50K
24626,23,Private,65481,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,>50K
10109,54,Private,249860,11th,7,Divorced,Priv-house-serv,Unmarried,Black,Female,0,0,10,United-States,<=50K
32528,81,?,120478,Assoc-voc,11,Divorced,?,Unmarried,White,Female,0,0,1,?,<=50K
30535,23,State-gov,314645,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K
1602,57,Self-emp-not-inc,95280,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,99999,0,45,United-States,>50K
20770,45,Private,167187,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
11233,52,Private,190909,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
24265,62,Local-gov,140851,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
20249,54,Private,235693,11th,7,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,>50K
29172,47,Private,78529,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
4663,72,?,303588,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States,<=50K
8609,18,?,163788,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
15124,39,Private,192251,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,>50K
7938,64,Federal-gov,199298,7th-8th,4,Widowed,Other-service,Unmarried,White,Female,0,0,30,Puerto-Rico,<=50K
1798,30,Self-emp-not-inc,167990,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,65,United-States,>50K
22435,20,Private,194848,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
2284,28,Private,167336,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,10520,0,40,United-States,>50K
20013,45,Local-gov,192793,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
3574,58,Private,140363,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,3325,0,30,United-States,<=50K
119,68,Private,211287,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2392,40,United-States,>50K
15063,32,Private,180799,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
3264,56,Private,105363,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4508,0,40,United-States,<=50K
18405,38,Private,108726,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
28065,36,?,389850,HS-grad,9,Married-spouse-absent,?,Unmarried,Black,Male,0,0,50,United-States,<=50K
7709,37,Private,89559,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
27093,29,Private,250967,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
9980,33,State-gov,295589,Some-college,10,Separated,Adm-clerical,Own-child,Black,Male,0,0,35,United-States,<=50K
18762,40,Private,123306,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
9955,77,Self-emp-not-inc,72931,7th-8th,4,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,0,0,20,Italy,>50K
21248,38,Private,161141,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,>50K
19661,22,Private,237720,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
20661,35,Private,153535,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,Black,Female,0,0,36,United-States,<=50K
24259,35,Private,186934,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
30262,33,Private,547886,Bachelors,13,Separated,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K
28777,64,Self-emp-inc,80333,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
18125,47,Local-gov,198660,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
10989,44,Private,336513,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K
5629,38,Local-gov,107513,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
23556,39,Self-emp-not-inc,52187,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
13243,31,Self-emp-not-inc,226696,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,>50K
5489,49,Self-emp-inc,125892,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
14539,35,Private,165799,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
9963,62,Private,200922,7th-8th,4,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
21707,46,Private,358585,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,>50K
2249,51,Private,159910,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Black,Male,10520,0,40,United-States,>50K
25145,55,Federal-gov,321333,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
23028,53,Self-emp-inc,100029,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
23945,29,Private,163167,HS-grad,9,Divorced,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
19503,57,Private,84888,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
28125,61,Private,139391,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,16,United-States,<=50K
22007,35,Self-emp-not-inc,112497,HS-grad,9,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,35,Ireland,<=50K
31589,49,Private,193047,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
3039,30,Private,186932,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,75,United-States,>50K
25508,46,Private,91608,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
25082,18,Private,31983,12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
31560,30,Private,182771,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
16367,30,Private,160634,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,>50K
2235,69,?,254834,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,10605,0,10,United-States,>50K
26769,28,Private,51672,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K
32324,42,Private,66118,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
13293,56,Private,365050,7th-8th,4,Never-married,Farming-fishing,Unmarried,Black,Female,0,0,20,United-States,<=50K
5720,31,Private,77634,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,42,United-States,<=50K
30438,44,Private,191149,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,57,United-States,<=50K
6452,32,Self-emp-inc,110331,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K
12861,22,Private,99199,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,<=50K
24906,25,Private,245628,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,15,Mexico,<=50K
18608,44,Private,191256,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
1582,53,Private,366957,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,99999,0,50,India,>50K
21919,65,?,149131,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,Italy,>50K
27747,19,Private,165306,Some-college,10,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
5601,22,Private,169188,HS-grad,9,Never-married,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
20170,45,State-gov,101299,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
738,43,Private,187728,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,50,United-States,>50K
29011,28,?,174666,10th,6,Separated,?,Not-in-family,White,Male,0,0,80,United-States,<=50K
18931,49,State-gov,216734,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
4882,27,Private,31757,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,0,38,United-States,<=50K
5119,42,Private,209370,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
19361,24,Private,50400,Some-college,10,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
14456,25,Private,197651,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,43,United-States,<=50K
847,54,Private,215990,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,44,United-States,>50K
17618,59,Local-gov,223215,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,42,United-States,<=50K
